fecha,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
1958,30.700005,29.5,29.900002,29.599998,28.099998,26.900002,25.300003,24.400002,24.599998,25.099998,26.300003,27.099998
1959,28.400002,30.700005,30.0,30.200005,29.099998,25.300003,25.599998,24.900002,26.0,25.400002,26.400002,26.700005
1960,28.300003,29.0,29.800003,29.900002,28.099998,26.099998,25.200005,25.200005,25.700005,25.599998,26.200005,27.099998
1961,29.099998,29.300003,30.300003,29.200005,28.700005,25.900002,24.0,24.900002,25.200005,25.200005,24.599998,27.599998
1962,28.400002,29.200005,28.700005,29.200005,27.5,24.900002,25.099998,24.599998,26.0,25.5,26.0,27.599998
1963,28.800003,28.400002,29.400002,29.0,28.700005,26.599998,25.200005,26.0,26.300003,27.099998,25.700005,27.800003
1964,29.800003,28.800003,29.800003,28.300003,27.200005,24.099998,24.099998,23.700005,24.0,24.5,25.5,26.0
1965,28.200005,30.400002,30.200005,29.0,28.800003,28.400002,26.599998,26.400002,26.200005,26.5,26.0,28.300003
1966,30.099998,30.5,30.200005,29.400002,27.800003,25.300003,24.400002,24.5,25.0,25.200005,25.400002,25.900002
1967,27.400002,28.300003,29.599998,30.300003,27.900002,24.5,24.200005,25.099998,23.900002,25.300003,24.900002,26.700005
1968,28.800003,28.900002,29.0,29.300003,26.800003,24.700005,24.400002,25.099998,23.700005,25.099998,27.099998,28.099998
1969,28.800003,30.400002,31.099998,29.900002,29.5,27.400002,26.900002,25.300003,25.800003,25.900002,27.099998,28.099998
1970,29.099998,29.5,30.300003,30.700005,27.700005,26.0,24.099998,23.599998,24.200005,25.599998,25.599998,26.900002
1971,27.599998,28.0,28.200005,29.200005,26.400002,25.300003,24.599998,23.0,23.5,24.200005,25.099998,27.099998
1972,28.5,29.5,29.900002,29.200005,27.800003,27.900002,27.5,25.200005,25.900002,25.900002,26.800003,28.0
1973,29.599998,30.0,30.099998,29.300003,27.599998,24.400002,24.0,23.400002,22.0,24.099998,24.800003,25.599998
1974,27.900002,28.5,29.200005,29.599998,28.0,24.800003,24.400002,22.700005,22.5,23.599998,25.0,26.200005
1975,27.099998,27.800003,29.200005,29.5,26.599998,25.400002,22.800003,22.700005,22.599998,23.5,23.200005,24.400002
1976,27.0,27.5,28.200005,28.599998,28.0,26.700005,26.700005,26.400002,25.800003,24.700005,26.300003,27.700005
1977,29.400002,29.599998,30.700005,29.800003,28.099998,26.099998,25.0,24.300003,24.599998,24.900002,25.700005,27.700005
1978,29.099998,30.300003,29.0,28.599998,28.200005,25.700005,25.099998,25.400002,25.099998,25.0,26.599998,27.200005
1979,28.800003,30.300003,29.800003,30.300003,28.5,26.800003,26.099998,25.099998,25.0,26.0,25.5,27.5
1980,29.099998,28.800003,30.099998,30.200005,28.5,26.5,25.900002,24.599998,24.5,24.700005,25.599998,26.800003
1981,28.599998,29.0,29.599998,29.200005,27.400002,25.400002,25.099998,24.099998,25.599998,25.099998,25.5,27.5
1982,28.300003,29.300003,30.200005,29.599998,27.599998,27.5,26.0,26.300003,26.099998,26.200005,28.0,28.800003
1983,30.0,31.0,31.300003,30.599998,30.0,29.200005,28.5,26.800003,27.0,26.200005,27.300003,27.0
1984,29.5,28.700005,29.900002,29.200005,27.800003,25.900002,24.800003,24.900002,24.599998,25.200005,25.800003,28.099998
1985,27.700005,30.400002,30.099998,29.599998,27.599998,26.900002,24.700005,24.0,24.5,25.099998,25.599998,27.099998
1986,28.200005,28.5,29.5,29.400002,27.900002,25.5,25.700005,25.400002,25.700005,24.5,26.400002,28.099998
1987,30.5,31.300003,31.5,31.200005,29.300003,28.099998,26.700005,25.599998,26.5,25.800003,27.800003,29.099998
1988,29.5,29.599998,30.099998,28.800003,28.400002,25.0,24.300003,23.900002,24.400002,24.700005,25.700005,25.800003
1989,28.200005,29.099998,29.900002,29.5,26.800003,24.400002,24.0,24.200005,24.300003,25.0,26.200005,27.200005
1990,29.0,29.099998,29.599998,29.099998,28.599998,26.700005,25.200005,24.5,25.5,25.099998,26.800003,28.099998
1991,28.700005,30.099998,30.099998,30.200005,28.800003,26.5,24.700005,24.099998,24.700005,26.400002,26.300003,28.300003
1992,29.400002,30.200005,31.099998,30.5,29.200005,27.200005,23.900002,23.200005,24.200005,25.5,25.800003,26.200005
1993,28.0,28.800003,30.400002,30.599998,29.400002,27.599998,26.200005,25.300003,25.599998,25.5,25.800003,27.200005
1994,28.5,29.599998,29.099998,29.099998,27.800003,26.0,24.5,24.0,24.400002,25.800003,26.599998,28.099998
1995,29.200005,29.099998,29.200005,29.200005,27.599998,25.800003,25.099998,24.5,24.599998,24.599998,25.400002,26.0
1996,28.0,28.800003,29.200005,27.5,26.800003,24.400002,23.5,23.700005,23.5,24.0,24.5,25.900002
1997,27.099998,28.800003,30.400002,29.900002,30.200005,28.800003,28.300003,27.599998,27.800003,27.800003,29.599998,30.5
1998,30.800003,31.0,31.5,31.800003,31.099998,28.099998,26.400002,24.800003,25.0,25.800003,25.599998,26.099998
1999,27.900002,28.900002,29.700005,28.599998,26.700005,24.5,23.900002,23.700005,23.900002,24.599998,25.099998,26.300003
2000,27.900002,28.700005,28.800003,29.599998,27.599998,25.400002,24.200005,24.200005,24.400002,24.900002,25.0,26.800003
2001,28.800003,29.5,30.300003,30.599998,27.800003,25.400002,25.300003,24.599998,24.400002,24.400002,25.5,26.900002
2002,28.400002,30.099998,30.700005,30.599998,29.0,26.300003,25.099998,24.900002,24.900002,26.200005,26.599998,28.200005
2003,29.200005,30.0,30.099998,29.0,27.0,24.900002,24.400002,24.400002,24.400002,25.200005,26.099998,27.200005
2004,28.599998,30.099998,29.800003,29.400002,27.5,24.800003,24.700005,24.400002,25.099998,25.400002,26.200005,27.0
2005,28.599998,28.800003,29.400002,29.900002,27.200005,24.900002,24.5,24.400002,24.700005,24.5,25.400002,26.700005
2006,28.5,29.700005,30.099998,28.800003,27.200005,25.599998,25.200005,25.400002,25.5,25.800003,26.5,27.5
2007,29.400002,30.0,29.700005,29.0,26.900002,24.400002,24.400002,23.599998,24.099998,23.5,24.599998,25.800003
2008,28.5,29.900002,30.599998,29.900002,27.5,26.200005,26.0,25.599998,25.700005,25.300003,25.5,26.5
2009,28.800003,29.099998,29.800003,29.400002,28.0,26.5,26.099998,25.800003,25.700005,25.5,26.400002,28.0
2010,29.5,30.0,30.300003,30.700005,28.700005,25.900002,24.700005,24.300003,24.400002,24.5,24.900002,26.400002
2011,28.5,29.5,29.599998,29.900002,28.700005,27.400002,26.300003,25.300003,25.0,25.0,25.900002,27.5
2012,29.0,29.5,30.400002,30.800003,29.599998,28.0,26.599998,25.400002,25.900002,25.700005,26.599998,27.599998
2013,29.400002,29.599998,30.099998,29.700005,27.700005,26.099998,25.099998,25.0,25.700005,25.700005,26.700005,28.0
